1,aH aH,阿,啊
2,aH aL,阿
3,aiH aiH,挨,誒,哎,唉,哀,埃
4,aiH aiL,鑀,愛,賹,艾,譪,礙,曖,噯,僾,嬡,濭,鴱,靉,隘,璦,薆
5,aiL aiH,敳,皚,靄,欸,騃,藹,捱,矮
6,aiL aiL,靄,昹,佁,欸,藹,矮
7,aM aM,阿,啊
8,angH angH,骯,腌
9,angH angL,盎,醠
10,angL angH,昂,卬
11,angL angL,軮
12,anH anH,萻,胺,垵,諳,銨,媕,腤,峖,鵪,韽,安,鞍,侒,氨,盦,庵,痷
13,anH anL,暗,案,桉,荌,婩,犴,儑,闇,菴,豻,錌,按,匼,洝,黯,匎,岸
14,anL anH,雸,啽,玵
15,anL anL,俺,堷,晻,唵
16,auH auH,坳,凹,柪
86,ch yiH yiL,磧,甈,氣,棄,葺,汔,蟿,契,迄,企,盵,憩,砌,鼜,訖,湇,緝,忔,栔,器,諿,泣,鏚,湆,气,汽
87,ch yiL yiH,藄,鬐,鬿,鄿,期,圻,岐,騎,起,枝,耆,蠐,蚑,錤,麒,啟,碕,鮨,玂,麡,岓,旂,鶀,祁,崎,軝,懠,乞,鵸,踑,鰭,鯕,琦,其,蜞,翗,釮,奇,掑,蘄,琪,祺,萁,稽,亓,祇,蚚,綦,騏,祈,跂,臍,頎,歧,錡,棋,齊,濝,淇,蚔,畦,綺,艩,埼,豈,衹,旗
88,ch yiL yiL,綮,芞,啟,邔,芑,呇,屺,棨,綺,起,乞,豈,婍,敧,杞
89,ch yuH yuH,軀,驅,砠,抾,呿,蛆,镼,敺,胠,魼,鶌,屈,區,佉,蛐,鱋,袪,趨,岨,祛,瞿,髷,阹,嶇,曲,紶
90,ch yuH yuL,刞,去,麮,闃,覷,湨,趣,鼁
91,ch yuL yuH,翵,臞,豦,璩,磲,氍,蕖,取,匷,翑,鴝,胊,鼩,葋,衢,蠷,籧,淭,劬,麴,灈,躣,蟝,菃,朐,曲,欋,齲,軥,螶,渠,懅,蘧
92,ch yuL yuL,浀,齲,娶,曲,取
93,chi aH aH,掐
94,chi aH aL,帢,恰,愘,洽,殎
95,chi aL aL,酠
96,chi angH angH,槍,鏹,羌,斨,搶,嶈,牄,腔,蜣,錆,謒,蹡,鎗,瑲,矼,鏘,椌
97,chi angH angL,羻,嗆,蹌,熗,唴
98,chi angL angH,蘠,搶,漒,爿,墻,廧,強,牆,薔,襁,嬙,檣,戕
99,chi angL angL,傸,搶,繈,強,襁,磢,墏
100,chi anH anH,騫,忏,謙,汧,顅,婜,嵌,鉛,千,牽,顩,縴,籤,岍,搴,粁,鐱,奷,譣,褰,攐,愆,阡,檶,掔,僉,韆,扦,櫏,遷,芊,羥,攓,慳,簽,仟
101,chi anH anL,茜,慊,芡,塹,欠,槧,棈,蒨,嗛,傔,篟,綪,縴,倩,輤,歉
102,chi anL anH,扲,灊,淺,鉗,黔,榩,鬵,蚙,黚,岒,遣,姏,揵,騚,乾,前,虔,軡,潛,墘,忴,葥,箝,鰬,鈐,錢,繾,鳹,燂,掮,漧,媊,拑
103,chi anL anL,譴,撖,淺,蜸,槏,遣,繾,潛
104,chi auH auH,塙,橇,撬,骹,髜,磽,鏒,庨,墝,頝,鍬,繑,敲,鄡,鐰,蹺,墽,蹻,幧,郻
105,chi auH auL,翹,誚,鞘,峭,竅,俏,躈,撽,蹺,帩
106,chi auL auH,翹,嫶,燆,嘺,趫,橋,喬,劁,巧,趬,敿,僑,礄,瞧,簥,譙,蕎,樵,憔,悄
107,chi auL auL,巧,悄,愀,鵲
108,chi ehH ehH,切
109,chi ehH ehL,竊,踥,切,朅,愜,妾,鯜,怯,挈,蛪,篋,洯,鍥,藒
110,chi ehL ehH,癿,伽,茄
111,chi ehL ehL,且
112,chi enH enH,侵,欽,瀙,嶔,親,綅,駸,衾,鋟
113,chi enH enL,沁,菣,唚,撳
114,chi enL enH,斳,芩,秦,芹,噙,澿,懃,庈,擒,琴,禽,雂,耹,檎,螓,勤,靲,肣,嫀,鈙
115,chi enL enL,寢,曋,寑,坅,顉,螼,昑
116,chi ngH ngH,氫,氰,圊,鯖,郬,頃,輕,卿,傾,蜻,青,狅,清
117,chi ngH ngL,碃,掅,磬,靘,罊,慶,漀,謦,汫,罄,鑋
118,chi ngL ngH,晴,樈,勍,情,請,黥,檠,傾,擎,殑
119,chi ngL ngL,請,廎,頃
120,chi ouH ouH,緧,鞦,邱,蝵,恘,秋,蟗,丘,鰍,偢,鶖,蚯,坵,楸,蠤,媝,趥,萩
121,chi ouL ouH,遒,觩,仇,釚,鮂,裘,銶,泅,俅,莍,梂,囚,求,朹,苬,球,崷,煪,厹,璆,盚,酋,鯄,絿,犰,鼽,虯,蛷,脙,殏,紌,僋,毬,鰽,逑,蝤,賕,訄
122,chi ouL ouL,糗
123,chiu anH anH,弮,棬,圈,絟,悛
124,chiu anH anL,券,勸,牶,絭,烇
125,chiu anL anH,筌,詮,齤,痊,佺,蜷,踡,犈,鬈,荃,瑔,婘,姾,輇,權,全,銓,顴,蠸,灥,醛,觠,跧,巏,拳,畎,牷,駩,恮,犬,縓,惓,泉
126,chiu anL anL,甽,犬,綣,畎,虇,汱,琄
127,chiu ehH ehH,缺,炔,蒛,闕
128,chiu ehH ehL,碏,礭,闋,碻,雀,埆,愨,怯,毃,鵲,卻,硞,確,礐,皵,闕,榷,确,搉
129,chiu ehL ehH,瘸
130,chiu enH enH,逡,峮,踆
131,chiu enL enH,宭,裙,群
132,chiu ngH ngH,芎,銎,穹
133,chiu ngL ngH,窮,蛩,瓊,煢,橩,藑,惸,邛,笻,跫,芎,赹,璚,穹,蒆,藭,筇,輁,桏,瞏
134,chiu ngL ngL,顈
135,chr aH aH,偛,嗏,疀,臿,扠,杈,插,鎈,叉,艖,喳,差
136,chr aH aL,詫,剎,衩,汊,紁,奼,岔,侘
137,chr aiH aiH,偨,差,拆,釵
138,chr aiH aiL,袃,蠆,囆
139,chr aiL aiH,祡,喍,豺,柴,儕
140,chr aL aH,察,鍤,秅,查,垞,槎,叉,茶,搽,碴
141,chr aL aL,蹅
142,chr angH angH,琩,裮,鼚,猖,倀,娼,菖,昌,淐,錩,鯧,倡,閶
143,chr angH angL,鬯,唱,韔,暢,悵,倡
144,chr angL angH,萇,常,償,長,場,腸,徜,鋿,鱨,嫦,粻,嚐,廠,嘗
145,chr angL angL,鋹,敞,場,氅,昶,廠
146,chr anH anH,攙,梴,惉,摻,幨,鋓,襜,辿,嬓,欃
147,chr anH anL,懺,儳,羼,嚵
148,chr anL anH,讒,產,蟾,磛,劖,單,獑,瀍,繵,瀺,纏,孱,棎,潺,廛,僝,躔,蟬,鑱,艬,饞,巉,毚,煘,禪,湹,鋋,酁,澶,嬋
149,chr anL anL,產,丳,灛,闡,滻,幝,諂,驏,剷,譂,繟,囅,旵,蕆,鏟,嘽,嵼,燀,簅
150,chr auH auH,怊,鈔,弨,超,抄,罺,訬
151,chr auH auL,耖
152,chr auL auH,嘲,朝,樔,轈,潮,吵,鄛,巢
153,chr auL auL,眧,吵,炒
154,chr eH eH,莗,車,硨
155,chr eH eL,轍,澈,迠,撤,屮,掣,徹,坼,硩
156,chr eL eH,扯
157,chr eL eL,撦,扯,奲
158,chr enH enH,捵,搷,堔,郴,嗔,瞋,諃,賝,棽,琛,謓
159,chr enH enL,嚫,趁,藽,稱,讖,櫬,疢,襯,齔,儭
160,chr enL enH,娠,臣,麎,宸,沉,鷐,忱,螴,樄,煁,愖,沈,蔯,茞,伔,諶,辰,莐,鈂,陳,塵,晨
161,chr enL enL,裖,鍖,磣,墋,踸,贂
162,chr ngH ngH,蟶,琤,牚,竀,饓,偁,浾,稱,赬,鏿,棦,檉,瞠,埥,撐,橕,崝
163,chr ngH ngL,秤,稱
164,chr ngL ngH,成,揨,荿,脀,酲,澂,峸,盛,脭,承,丞,乘,湞,逞,呈,誠,鋮,城,宬,裎,塍,橙,棖,珵,郕,騬,程,掁,澄,埕,懲,晟
165,chr ngL ngL,庱,騁,逞,塣,悜
166,chr ouH ouH,犨,搊,篘,瘳,抽
167,chr ouH ouL,臭,憱,簉
168,chr ouL ouH,仇,絒,懤,綢,紬,菗,薵,疇,讎,丑,醜,惆,躊,籌,雔,栦,鯈,嬦,儔,燽,椆,稠,詶,愁,酬,裯
169,chr ouL ouL,丑,醜,杽,吜,瞅,杻
170,chr wuH wuH,出,初,貙,齣
171,chr wuH wuL,搐,詘,臅,滀,敊,踀,鄐,亍,豖,泏,絀,矗,黜,怵,儊,斶,觸,處,畜,俶,琡,歜
172,chr wuL wuH,耡,除,儲,楚,趎,蜍,跦,雛,蒢,芻,櫥,犓,廚,幮,滁,鶵,篨,躇,處,鋤,鉏,躕
173,chr wuL wuL,礎,楮,處,濋,儲,檚,褚,杵,楚
174,chrH chrH,痴,眵,瓻,喫,蚩,离,貾,絺,齹,媸,誺,嗤,郗,魑,癡,摛,笞,螭,吃,鴟,瞝,齝
175,chrH chrL,痸,鉓,飭,傺,敕,瘛,跮,斥,抶,遫,眙,翅,乿,鷘,摰,栻,叱,哧,熾,啻,彳,赤,懘,戠,饎,淔
176,chrL chrH,謘,荎,趍,尺,匙,弛,茌,齒,耛,踟,馳,箈,箎,蚳,歭,恥,遲,侈,徥,篪,徲,汦,墀,忯,持,池,茬
177,chrL chrL,傂,呎,鉹,欼,恀,鶒,豉,恥,齒,蚇,誃,褫,侈,尺,拸,伬,姼
178,chu aH aH,欻
179,chu aiH aiH,搋
180,chu aiH aiL,踹,嘬
181,chu aiL aiH,膗
182,chu aiL aiL,揣
183,chu angH angH,窗,創,瘡,戧,摐,憃
184,chu angH angL,創,刱,獊,愴
185,chu angL angH,床,幢
186,chu angL angL,闖,漺
187,chu anH anH,穿,鐉,川,氚,瑏
188,chu anH anL,汌,釧,夼,玔,串,賗
189,chu anL anH,傳,輲,椽,船,遄,諯,暷,歂
190,chu anL anL,喘,荈,舛
191,chu eiH eiH,吹,炊
192,chu eiH eiL,諈
193,chu eiL eiH,陲,槌,綞,娷,鎚,箠,倕,棰,垂,菙,搥,湷,捶,圌,甀,錘
194,chu enH enH,輴,媋,椿,鰆,焞,春,鶞,暙,杶
195,chu enL enH,韕,醇,蓴,漘,淳,憌,唇,脣,純,鯙,鶉,錞,蠢
196,chu enL enL,萶,惷,踳,偆,蠢
197,chu ngH ngH,祌,沖,充,浺,珫,舂,茺,蹖,忡,衝,憧
198,chu ngH ngL,銃,揰
199,chu ngL ngH,蟲,崇,茧,重,种,虫,痋,蝩,翀,隀
200,chu ngL ngL,寵
201,chu oH oH,戳
202,chu oH oL,啜,磭,歠,吷,娖,趠,綽,逴,婥,婼,嚽,擉,畷,輟,齪,珿,醊,惙
203,d aH aH,撘,褡,瘩,答,咑,搭,耷
204,d aH aL,大
205,d aiH aiH,獃,待,呆
206,d aiH aiL,迨,襶,埭,戴,紿,柋,靆,艜,蹛,貸,忕,大,酨,怠,黛,瀻,待,汏,廗,玳,跢,岱,殆,代,袋,帶,軩
207,d aiL aiH,逮
208,d aiL aiL,逮,歹
209,d aL aH,鐽,妲,怛,噠,炟,靼,呾,匒,畣,鎝,笪,答,薘,繨,韃,打,荅,達
210,d aL aL,打
211,d aM aM,瘩
212,d angH angH,噹,璫,嵣,艡,簹,鐺,襠,澢,蟷,當,儅
213,d angH angL,瓽,宕,擋,礑,盪,菪,璗,闣,逿,蕩,碭,簜,愓,當
214,d angL angH,黨,擋
215,d angL angL,黨,擋,党,攩,欓,檔,讜
216,d anH anH,耽,聃,匰,甔,簞,丹,儋,嚪,鄲,襌,單,擔,聸,眈,殫,砃,勯,酖
217,d anH anL,沊,啿,柦,石,擔,餤,癉,啖,噉,舕,誕,泹,蛋,狚,旦,氮,暺,彈,嘾,僤,癚,窞,帎,啗,髧,潬,憺,澹,蜑,觛,霮,萏,灗,鉭,憚,鴠,淡,但
218,d anL anH,膽
219,d anL anL,膽,亶,紞,玬,刐,撣,衴,黵,澸,撢,疸
220,d auH auH,刀,幍,叨,忉,魛,氘,舠
221,d auH auL,倒,稻,悼,瓙,到,翿,盜,幬,菿,檤,蹈,道
222,d auL auH,搗,倒,導,島
223,d auL auL,擣,倒,島,捯,搗,禂,壔,禱,蹈,導
224,d eiL eiL,得
225,d eL eH,德,淂,得
226,d eM eM,地,的,得
227,d ngH ngH,璒,豋,簦,燈,嬁,登,鐙
228,d ngH ngL,鐙,墱,瞪,磴,邆,霯,嶝,凳,蹬,鄧
229,d ngL ngH,等
230,d ngL ngL,戥,等
231,d ouH ouH,都,兜,郖
232,d ouH ouL,讀,痘,豆,餖,竇,逗,脰,梪,荳,鋀,鬥,浢
233,d ouL ouH,斗,抖
234,d ouL ouL,斗,敨,唗,抖,枓,蚪,陡
235,d wuH wuH,都,督,醏,嘟,闍
236,d wuH wuL,秺,喥,鍍,杜,妒,度,蠹,肚,渡
237,d wuL wuH,髑,贕,儥,韥,堵,櫝,韇,黷,獨,讀,毒,賭,瀆,犢,殰,讟,蝳,碡,篤,牘,皾,纛
238,d wuL wuL,睹,篤,堵,帾,賭,裻,錖
239,d yiH yiH,袛,低,熵,鞮,菂,墑,氐,滴,彽,鍉,羝,磾
240,d yiH yiL,梊,焍,珶,墆,蔕,楴,嵽,的,杕,螮,蒂,遞,禘,弟,締,帝,碲,軑,馰,渧,玓,睇,娣,旳,棣,釱,踶,甋,地,第,諦,樀,虳
241,d yiL yiH,藡,糴,敵,鏑,的,嚁,篴,潪,詆,梑,蹢,抵,笛,靮,鸐,藋,翟,覿,荻,蔋,迪,滌,嘀,苖,底,狄,嫡
242,d yiL yiL,扺,阺,弤,底,呧,坻,邸,菧,聜,詆,柢,抵,砥,觝,軧,牴
243,di anH anH,傎,敁,齻,滇,槙,掂,厧,瘨,巔,癲,蹎,顛
244,di anH anL,甸,坫,阽,澱,電,簟,壂,店,婝,磹,癜,殿,淀,痁,佃,玷,靛,墊,惦,奠,扂,鈿,踮
245,di anL anH,典,點,碘
246,di anL anL,典,錪,婰,蕇,琠,點,碘
247,di auH auH,瞗,虭,鯛,雕,凋,叼,彫,鵰,扚,刁,琱,鳭,貂,殦,蛁,碉
248,di auH auL,窵,誂,釣,蓧,吊,魡,掉,弔,調,伄
249,di auL auL,屌
250,di ehH ehH,爹,嗲
251,di ehL ehH,跌,褋,迭,苵,瓞,鰈,挕,疊,絰,眣,镻,喋,惵,胅,諜,嶀,峌,跕,艓,楪,咥,堞,碟,蝶,詄,蹀,聑,昳,臷,耋,牒,蜨,垤
252,di ngH ngH,玎,靪,酊,丁,釘,仃,帄,疔,盯,叮,虰,町
253,di ngH ngL,萣,顁,訂,飣,娗,椗,碠,釘,錠,掟,定,啶,碇
254,di ngL ngH,鼎,頂
255,di ngL ngL,酊,嵿,頂,鼎,濎,薡
256,di ouH ouH,銩,丟
257,du anH anH,媏,端,偳,剬
258,du anH anL,腶,緞,碫,籪,鍛,椴,躖,段,葮,斷,毈
259,du anL anH,短
260,du anL anL,短
261,du eiH eiH,頧,痽,堆
262,du eiH eiL,碓,憝,濧,譈,轛,薱,瀩,兌,對,懟,隊
263,du enH enH,鐓,驐,蜳,敦,惇,蹲,撉,礅,墩
264,du enH enL,腞,盾,囤,飩,遯,鈍,崸,遁,噸,坉,鶨,沌,伅,潡,炖,燉,庉,扽,頓
265,du enL enL,盹,躉
266,du ngH ngH,冬,埬,鶇,氡,咚,菄,崠,鼕,涷,炵,蝀,苳,東
267,du ngH ngL,戙,恫,挏,洞,霘,棟,胴,凍,駧,動
268,du ngL ngL,嬞,墥,董,懂
269,du oH oH,多,哆,茤,朵
270,du oH oL,跺,貀,惰,墯,袉,墮,踱,馱,柁,度,咄,嶞,鵽,柮,剁,陏,陊,舵
271,du oL oH,鐸,襗,敪,腏,椯,剫,多,剟,莌,毲,敓,鮵,躲,掇,裰,奪
272,du oL oL,嚲,鬌,埵,垛,痑,趓,躲,朵
273,eH eH,屙,阿,錒,婀,峉,痾
274,eH eL,諤,堮,砨,搤,鱷,頞,萼,鍔,扼,堊,砐,愕,嶭,咢,櫮,軶,蚅,俄,堨,崿,閼,鄂,豟,蘁,餓,惡,圔,顎,齶,厄,餩,軛,遏,阨,枙,鑩,詻,呃,搹,噩,岋,蝁,鶚
275,eL eH,蚵,吪,蛾,娥,哦,俄,涐,峨,皒,魤,硪,囮,訛,額,睋,珴,莪,鵝,鋨,迗
276,eL eL,噁
277,enH enH,恩,嗯
278,enH enL,摁
279,erH erH,兒
280,erH erL,二,咡,刵,樲,毦,衈,貳,眲,佴
281,erL erH,荋,耳,耏,兒,洏,唲,鴯,檽,胹,陑,而,輀,侕,栭,聏,爾,鮞
282,erL erL,鉺,耳,餌,栮,峏,薾,尒,邇,洱,駬,珥,爾
283,f aH aH,發,伐,瞂
284,f aH aL,琺,法
285,f aL aH,砝,髮,茷,乏,法,疺,閥,藅,伐,罰,筏
286,f aL aL,髮,法
287,f angH angH,汸,芳,方,枋,匚,淓,鈁,坊,邡
288,f angH angL,放
289,f angL angH,防,妨,仿,倣,舫,魴,訪,肪,紡,坊,房
290,f angL angL,髣,鶭,仿,倣,彷,舫,訪,昉,紡,坊,瓬
291,f anH anH,轓,幡,旛,僠,繙,蕃,翻,籓,番,嬏,鱕
292,f anH anL,飯,犯,鄤,泛,笵,嬔,梵,範,氾,軓,汎,販,奿,軬,畈,滼,范
293,f anL anH,膰,返,蕃,羳,璠,煩,杋,薠,蹯,蘩,籵,橎,繁,燔,樊,勫,笲,反,鐇,礬,藩,鷭,瀪,瀿,墦,釩,凡,蠜,颿,帆
294,f anL anL,魬,反,返
295,f eiH eiH,非,鯡,菲,蜚,裶,飛,霏,騑,騛,啡,緋,妃,扉,馡,婓
296,f eiH eiL,鐨,費,廢,蟦,剕,痱,曊,疿,濷,砩,厞,俷,屝,肺,吠,櫠,鼣,狒,胇,癈,沸
297,f eiL eiH,斐,肥,蜰,腓,淝,匪,萉
298,f eiL eiL,斐,篚,餥,菲,蜚,誹,悱,奜,棐,榧,匪,朏,翡
299,f enH enH,玢,芬,棻,梤,氛,翂,衯,昐,饙,吩,砏,分,紛,酚,鈖,雰,鳻
300,f enH enL,羵,坋,糞,秎,忿,憤,僨,奮,膹,瀵,分,橨,份,魵
301,f enL enH,蒶,幩,粉,妢,枌,蚡,墳,鐼,蕡,鼢,羒,黂,濆,弅,轒,豶,汾,鼖,棼,焚,炃
302,f enL enL,黺,粉
303,f ngH ngH,灃,烽,瘋,楓,麷,偑,捀,封,崶,猦,鋒,桻,丰,葑,蘴,酆,犎,豐,妦,蜂,峰,風,檒,飌
304,f ngH ngL,鳳,諷,俸,縫,焨,奉,風,賵
305,f ngL ngH,摓,艂,逢,夆,縫,馮,堸,渢
306,f ngL ngL,覂,唪
307,f oL oH,佛,坲
308,f ouL ouH,罘,芣,剻,紑
309,f ouL ouL,缶,否,殕,鴀,缹
310,f wuH wuH,泭,膚,尃,紨,砆,罦,趺,糐,鄜,麩,箙,跗,璷,敷,荴,姇,邞,鈇,柎,衭,綒,孵,夫,稃,鳺,伕,枹,怤
311,f wuH wuL,副,駙,胕,偩,傅,鰒,鮒,負,蕧,輹,腹,付,阜,婦,复,蚹,峊,蛗,馥,赴,緮,覆,蝮,父,訃,萯,蝜,榑,鍑,富,賦,咐,祔,複,復,附,賻
312,f wuL wuH,俯,撫,符,俘,扶,笰,澓,鶝,垘,沷,氟,柫,茯,艴,孚,紱,桴,蚨,郛,韍,岪,葍,祓,紼,蜉,帗,烰,怫,咈,綍,芙,輻,彿,弗,拂,釜,府,蝠,巿,菔,茀,黻,簠,腐,縛,鵩,父,輔,袱,涪,昲,虙,艀,鴔,浮,踾,枎,拊,幅,琈,棴,伏,玸,福,刜,鳧,苻,芾,諨,洑,匐,沸,服
313,f wuL wuL,斧,俯,軵,撫,蚥,郙,滏,冹,甫,頫,暊,府,弣,腐,鯆,父,輔,黼,嘸,拊,蜅,腑,釜
314,g aH aH,旮,嘎
315,g aH aL,尬
316,g aiH aiH,絯,荄,賅,祴,陔,峐,侅,豥,隑,賌,垓,該,胲
317,g aiH aiL,瓂,溉,鈣,戤,摡,丐,概,蓋
318,g aiL aiH,改
319,g aiL aiL,改
320,g aL aH,噶,釓,軋
321,g angH angH,棡,剛,疘,崗,堽,堈,岡,犅,釭,缸,綱,肛,笐,鋼,罡,碙,杠
322,g angH angL,槓
323,g angL angH,崗,港
324,g angL angL,崗,港
325,g anH anH,坩,干,矸,肝,筸,疳,杆,蜬,嵅,甘,虷,泔,乾,玕,竿,柑,鳱,咁,尷,酐
326,g anH anL,骭,涻,紺,榦,幹,凎,灨,詌,贛,淦,旰,簳
327,g anL anH,趕,感,橄,敢
328,g anL anL,澉,感,橄,盰,赶,稈,皯,趕,桿,敢
329,g auH auH,糕,篙,羔,滜,睾,鼛,槔,睪,櫜,高,韟,皋,膏
330,g auH auL,煰,告,祰,郜,鋯,誥
331,g auL auH,稿,搞
332,g auL auL,筶,槁,搞,睪,稿,杲,暠,檺,縞
333,g eH eH,擱,牁,割,滒,渮,哥,戈,鴿,歌,疙,胳,肐,菏,麧
334,g eH eL,箇,鉻,各,個,虼
335,g eiL eiH,給
336,g eiL eiL,給
337,g eL eH,隔,轕,鞷,愅,獦,咯,茖,韐,閣,鎘,膈,格,齃,佮,敆,骼,搿,輵,觡,葛,鮯,嗝,革,塥,蛤,鬲,挌
338,g eL eL,葛,擖,哿,魺,笴,舸,騔,個
339,g eM eM,個,哥
340,g enH enH,根,跟
341,g enH enL,艮,亙,茛
342,g enL enH,哏
